time="2020-04-28 11:25:12" level=info msg="记录一下日志Info" name=ceshi
time="2020-04-28 11:25:12" level=info msg="| 200 |      2.0083ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 11:25:12" level=info msg="| 200 |       5.003ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:05:49" level=info msg="| 200 |      2.0167ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:05:49" level=info msg="| 200 |      1.9977ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:05:50" level=info msg="| 200 |     16.9962ms |             ::1 | GET | /api/auth/captcha?v=0.32708361558103904 |"
time="2020-04-28 14:06:01" level=info msg="| 200 |      1.0002ms |             ::1 | GET | /api/auth/captcha?v=0.2466533361988772 |"
time="2020-04-28 14:06:05" level=error msg="用户信息绑定错误error" name=ceshi
time="2020-04-28 14:07:08" level=info msg="| 200 |       1.013ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:07:09" level=info msg="| 200 |      3.0094ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:07:24" level=info msg="| 200 |      1.0005ms |             ::1 | GET | /api/auth/captcha?v=0.8740263181318291 |"
time="2020-04-28 14:07:26" level=info msg="| 200 |      1.0019ms |             ::1 | GET | /api/auth/captcha?v=0.5569783380836439 |"
time="2020-04-28 14:07:28" level=info msg="| 200 |      2.0089ms |             ::1 | GET | /api/auth/captcha?v=0.20117204023378554 |"
time="2020-04-28 14:07:29" level=info msg="| 200 |       966.1µs |             ::1 | GET | /api/auth/captcha?v=0.7505077706723238 |"
time="2020-04-28 14:07:30" level=info msg="| 200 |      1.0009ms |             ::1 | GET | /api/auth/captcha?v=0.7876378567955247 |"
time="2020-04-28 14:09:35" level=info msg="| 200 |      1.0157ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:09:35" level=info msg="| 200 |      3.0013ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:09:37" level=info msg="| 200 |       1.971ms |             ::1 | GET | /api/auth/captcha?v=0.6286205658412114 |"
time="2020-04-28 14:09:58" level=error msg="err.Error()error" name=PostRegister
time="2020-04-28 14:10:52" level=info msg="| 200 |      2.0046ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:10:52" level=info msg="| 200 |     25.0016ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:11:11" level=info msg="| 200 |       1.017ms |             ::1 | GET | /api/auth/captcha?v=0.582885466359375 |"
time="2020-04-28 14:11:12" level=info msg="| 200 |       920.8µs |             ::1 | GET | /api/auth/captcha?v=0.33913795809842107 |"
time="2020-04-28 14:11:13" level=info msg="| 200 |       999.8µs |             ::1 | GET | /api/auth/captcha?v=0.913243790238057 |"
time="2020-04-28 14:11:14" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.22317797235433656 |"
time="2020-04-28 14:11:16" level=info msg="| 200 |       998.2µs |             ::1 | GET | /api/auth/captcha?v=0.11114857187972915 |"
time="2020-04-28 14:11:17" level=info msg="| 200 |       1.001ms |             ::1 | GET | /api/auth/captcha?v=0.8834211562970871 |"
time="2020-04-28 14:11:22" level=error msg="err.Error()error" name=PostRegister
time="2020-04-28 14:12:09" level=info msg="| 200 |      1.9637ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:12:09" level=info msg="| 200 |      6.0054ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:13:27" level=info msg="| 200 |      1.9893ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:13:27" level=info msg="| 200 |      4.9786ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:13:36" level=info msg="| 200 |      1.9736ms |             ::1 | GET | /api/auth/captcha?v=0.437108129846425 |"
time="2020-04-28 14:13:37" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.7992922853337168 |"
time="2020-04-28 14:20:11" level=info msg="| 200 |       997.8µs |             ::1 | GET | /api/auth/register |"
time="2020-04-28 14:20:11" level=info msg="| 200 |      5.0075ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 14:20:23" level=info msg="| 200 |     35.9826ms |             ::1 | GET | /api/auth/captcha?v=0.1425121676861576 |"
time="2020-04-28 14:20:30" level=info msg="| 200 |       997.8µs |             ::1 | POST | /api/auth/register |"
time="2020-04-28 17:50:03" level=info msg="| 200 |      5.0032ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 17:50:03" level=info msg="| 200 |      1.9975ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 17:50:03" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2020-04-28 17:55:31" level=info msg="| 200 |       5.977ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 17:55:31" level=info msg="| 200 |      5.0021ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 17:58:28" level=info msg="| 200 |       3.974ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 17:58:28" level=info msg="| 200 |     13.9987ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-28 18:00:35" level=info msg="| 200 |      4.0235ms |             ::1 | GET | /api/auth/register |"
time="2020-04-28 18:00:35" level=info msg="| 200 |      4.9916ms |             ::1 | GET | /api/auth/captcha |"
