time="2020-04-29 09:51:09" level=info msg="| 200 |     73.0042ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 09:51:09" level=info msg="| 200 |      1.9885ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 09:51:10" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2020-04-29 10:04:59" level=info msg="| 200 |      7.0235ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 10:04:59" level=info msg="| 200 |     11.0249ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:05:06" level=info msg="| 400 |       999.7µs |             ::1 | POST | /api/auth/register |"
time="2020-04-29 10:05:08" level=info msg="| 200 |       1.015ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:05:37" level=info msg="| 200 |      4.9931ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 10:05:37" level=info msg="| 200 |      1.9881ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:05:48" level=info msg="| 400 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 10:06:03" level=info msg="| 200 |      1.9811ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:06:04" level=info msg="| 200 |      5.0021ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 10:06:04" level=info msg="| 200 |       2.995ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:06:14" level=info msg="| 200 |         986µs |             ::1 | GET | /api/auth/captcha?v=0.7268646697391639 |"
time="2020-04-29 10:06:16" level=info msg="| 200 |        1.03ms |             ::1 | GET | /api/auth/captcha?v=0.7522170957158243 |"
time="2020-04-29 10:06:17" level=info msg="| 200 |      2.0004ms |             ::1 | GET | /api/auth/captcha?v=0.9076668707974096 |"
time="2020-04-29 10:06:18" level=info msg="| 200 |            0s |             ::1 | GET | /api/auth/captcha?v=0.9051316750614427 |"
time="2020-04-29 10:06:19" level=info msg="| 200 |      1.0328ms |             ::1 | GET | /api/auth/captcha?v=0.5567314035426594 |"
time="2020-04-29 10:06:20" level=info msg="| 200 |       999.6µs |             ::1 | GET | /api/auth/captcha?v=0.6152826494951269 |"
time="2020-04-29 10:06:25" level=info msg="| 400 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-04-29 10:08:41" level=info msg="| 200 |      6.0301ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 10:08:41" level=info msg="| 200 |      5.0232ms |             ::1 | GET | /api/auth/captcha |"
time="2020-04-29 10:08:51" level=info msg="| 200 |      1.0016ms |             ::1 | GET | /api/auth/captcha?v=0.6048358006098102 |"
time="2020-04-29 10:08:52" level=info msg="| 200 |       1.016ms |             ::1 | GET | /api/auth/captcha?v=0.6487944537021979 |"
time="2020-04-29 10:09:00" level=info msg="| 400 |      2.0012ms |             ::1 | POST | /api/auth/register |"
time="2020-04-29 10:11:33" level=info msg="| 200 |      8.0017ms |             ::1 | GET | /api/auth/register |"
time="2020-04-29 10:11:33" level=info msg="| 200 |      7.9998ms |             ::1 | GET | /api/auth/captcha |"
