time="2020-05-06 15:46:32" level=info msg="| 200 |       2.019ms |             ::1 | GET | /api/auth/register |"
time="2020-05-06 15:46:32" level=info msg="| 200 |      2.9955ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 15:46:32" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2020-05-06 15:48:13" level=info msg="| 200 |      1.9847ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 15:48:14" level=info msg="| 200 |       1.019ms |             ::1 | GET | /api/auth/register |"
time="2020-05-06 15:48:14" level=info msg="| 200 |      1.0094ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 15:48:33" level=info msg="| 400 |            0s |             ::1 | POST | /api/auth/register |"
time="2020-05-06 15:48:45" level=info msg="| 200 |      1.0018ms |             ::1 | GET | /api/auth/register |"
time="2020-05-06 15:48:45" level=info msg="| 200 |       997.5µs |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 15:49:05" level=info msg="| 200 |      1.0187ms |             ::1 | GET | /api/auth/captcha?v=0.721280703148298 |"
time="2020-05-06 15:49:06" level=info msg="| 200 |       990.7µs |             ::1 | GET | /api/auth/captcha?v=0.41718156618098434 |"
time="2020-05-06 15:49:11" level=info msg="| 200 |      78.028ms |             ::1 | POST | /api/auth/register |"
time="2020-05-06 15:49:22" level=info msg="| 200 |      1.0132ms |             ::1 | GET | /api/auth/login |"
time="2020-05-06 15:49:22" level=info msg="| 200 |      2.0308ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 15:49:37" level=info msg="| 200 |      1.0014ms |             ::1 | GET | /api/auth/captcha?v=0.9146645347091737 |"
time="2020-05-06 15:49:41" level=info msg="| 200 |     81.0167ms |             ::1 | POST | /api/auth/login |"
time="2020-05-06 16:08:39" level=info msg="| 401 |       1.001ms |             ::1 | GET | /api/auth/index |"
time="2020-05-06 16:10:41" level=info msg="| 200 |       985.5µs |             ::1 | GET | /api/auth/login |"
time="2020-05-06 16:10:42" level=info msg="| 200 |     23.0012ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 16:10:44" level=info msg="| 200 |      1.0044ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 16:10:52" level=info msg="| 200 |      1.0005ms |             ::1 | GET | /api/auth/captcha?v=0.8707964168360052 |"
time="2020-05-06 16:10:58" level=error msg="账户或密码错误error" name=PostRegister
time="2020-05-06 16:10:58" level=info msg="| 200 |     80.0318ms |             ::1 | POST | /api/auth/login |"
time="2020-05-06 16:11:01" level=info msg="| 200 |       1.025ms |             ::1 | GET | /api/auth/login |"
time="2020-05-06 16:11:01" level=info msg="| 200 |      1.9907ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 16:11:02" level=info msg="| 200 |       995.9µs |             ::1 | GET | /api/auth/login |"
time="2020-05-06 16:11:02" level=info msg="| 200 |      3.0273ms |             ::1 | GET | /api/auth/captcha |"
time="2020-05-06 16:11:10" level=info msg="| 200 |      1.9976ms |             ::1 | GET | /api/auth/captcha?v=0.28749856154378617 |"
time="2020-05-06 16:11:15" level=error msg="账户或密码错误error" name=PostRegister
